"性","セイ"
"阿井","あい"
"愛","あい"
"曾","あい"
"相","あい"
"藍","あい"
"會","あい"
"相井","あいい"
"四十内","あいうち"
"相内","あいうち"
"相浦","あいうら"
"阿江","あいえ"
"相江","あいえ"
"合尾","あいお"
"相生","あいおい"
"秋鹿","あいか"
"相賀","あいか"
"相方","あいかた"
"相上","あいかみ"
"相神","あいかみ"
"阿井川","あいかわ"
"愛川","あいかわ"
"鮎川","あいかわ"
"会川","あいかわ"
"合川","あいかわ"
"四十川","あいかわ"
"相河","あいかわ"
"相川","あいかわ"
"淡川","あいかわ"
"藍川","あいかわ"
"相賀","あいが"
"愛垣","あいがき"
"相垣","あいがき"
"相笠","あいがさ"
"相ヶ瀬","あいがせ"
"相上","あいがみ"
"相神","あいがみ"
"愛木","あいき"
"会木","あいき"
"合木","あいき"
"四十木","あいき"
"相木","あいき"
"藍木","あいき"
"愛敬","あいきょう"
"鮎京","あいきょう"
"相京","あいきょう"
"相亰","あいきょう"
"相倉","あいくら"
"合口","あいぐち"
"藍口","あいぐち"
"相子","あいこ"
"愛甲","あいこう"
"相越","あいこし"
"相越","あいごし"
"逢坂","あいさか"
"合阪","あいさか"
"相坂","あいさか"
"相阪","あいさか"
"逢沢","あいさわ"
"相沢","あいさわ"
"相座","あいざ"
"合崎","あいざき"
"四十崎","あいざき"
"相崎","あいざき"
"愛沢","あいざわ"
"愛澤","あいざわ"
"逢沢","あいざわ"
"逢澤","あいざわ"
"鮎沢","あいざわ"
"鮎澤","あいざわ"
"会沢","あいざわ"
"会澤","あいざわ"
"合沢","あいざわ"
"合澤","あいざわ"
"四十沢","あいざわ"
"四十澤","あいざわ"
"相沢","あいざわ"
"相澤","あいざわ"
"藍沢","あいざわ"
"藍澤","あいざわ"
"會沢","あいざわ"
"會澤","あいざわ"
"愛下","あいした"
"相島","あいしま"
"合路","あいじ"
"相島","あいじま"
"相嶋","あいじま"
"愛洲","あいす"
"愛須","あいす"
"相須","あいす"
"會津","あいず"
"四十住","あいずみ"
"相墨","あいずみ"
"相瀬","あいせ"
"相関","あいぜき"
"愛染","あいぜん"
"相磯","あいそ"
"相曾","あいそ"
"相曽","あいそ"
"相蘇","あいそ"
"相宗","あいそう"
"会田","あいた"
"相多","あいた"
"相田","あいた"
"會田","あいた"
"四十竹","あいたけ"
"合谷","あいたに"
"四十谷","あいたに"
"相谷","あいたに"
"藍谷","あいたに"
"愛田","あいだ"
"会田","あいだ"
"間","あいだ"
"合田","あいだ"
"四十田","あいだ"
"相田","あいだ"
"藍田","あいだ"
"會田","あいだ"
"間谷","あいだに"
"愛知","あいち"
"愛智","あいち"
"相地","あいち"
"相茶","あいちゃ"
"合月","あいつき"
"相築","あいつき"
"合坪","あいつぼ"
"会津","あいづ"
"合津","あいづ"
"相津","あいづ"
"會津","あいづ"
"合月","あいづき"
"合戸","あいと"
"相戸","あいと"
"相当","あいとう"
"相藤","あいとう"
"相徳","あいとく"
"合戸","あいど"
"相内","あいない"
"愛野","あいの"
"相野","あいの"
"藍野","あいの"
"相野田","あいのだ"
"相野谷","あいのや"
"間畠","あいはた"
"相畑","あいはた"
"藍畑","あいはた"
"愛原","あいはら"
"粟飯原","あいはら"
"合原","あいはら"
"相原","あいはら"
"藍原","あいはら"
"會原","あいはら"
"愛場","あいば"
"愛波","あいば"
"愛葉","あいば"
"会場","あいば"
"間場","あいば"
"間馬","あいば"
"饗場","あいば"
"饗庭","あいば"
"合場","あいば"
"合庭","あいば"
"餐場","あいば"
"相羽","あいば"
"相場","あいば"
"相庭","あいば"
"相波","あいば"
"相葉","あいば"
"藍場","あいば"
"藍葉","あいば"
"粟飯原","あいばら"
"相原","あいばら"
"相引","あいびき"
"相部","あいべ"
"相星","あいぼし"
"相松","あいまつ"
"会見","あいみ"
"相見","あいみ"
"會見","あいみ"
"相宮","あいみや"
"相武","あいむ"
"相本","あいもと"
"四十物","あいもの"
"四十物谷","あいものや"
"愛屋","あいや"
"愛山","あいやま"
"四十山","あいやま"
"相山","あいやま"
"相吉","あいよし"
"相吉沢","あいよしざわ"
"相吉澤","あいよしざわ"
"姶良","あいら"
"合六","あいろく"
"阿内","あうち"
"阿江","あえ"
"饗場","あえば"
"饗庭","あえば"
"阿尾","あお"
"粟生","あお"
"青","あお"
"青合","あおあい"
"青井","あおい"
"青池","あおいけ"
"青石","あおいし"
"葵田","あおいだ"
"青出","あおいで"
"粟生","あおう"
"粟生田","あおうだ"
"青梅","あおうめ"
"青栄","あおえ"
"青江","あおえ"
"青枝","あおえ"
"青枝","あおえだ"
"青尾","あおお"
"青鹿","あおか"
"青陰","あおかげ"
"青影","あおかげ"
"青景","あおかげ"
"青方","あおかた"
"青川","あおかわ"
"青海","あおがい"
"青貝","あおがい"
"青垣","あおがき"
"青柿","あおがき"
"青黄","あおき"
"青鬼","あおき"
"青樹","あおき"
"青城","あおき"
"青木","あおき"
"青儀","あおぎ"
"青草","あおくさ"
"青雲","あおぐも"
"青佐","あおさ"
"青坂","あおさか"
"青崎","あおさき"
"青笹","あおささ"
"青澤","あおさわ"
"青崎","あおざき"
"青笹","あおざさ"
"青枝","あおし"
"青鹿","あおしか"
"青柴","あおしば"
"青島","あおしま"
"青嶋","あおしま"
"青地","あおじ"
"青園","あおぞの"
"青空","あおぞら"
"粟生田","あおた"
"青田","あおた"
"青高","あおたか"
"青竹","あおたけ"
"青谷","あおたに"
"青地","あおち"
"青地","あおぢ"
"青塚","あおつか"
"青墳","あおつか"
"青塚","あおづか"
"青手木","あおてき"
"青戸","あおと"
"青砥","あおと"
"青藤","あおとう"
"青梨","あおなし"
"青波","あおなみ"
"青西","あおにし"
"青貫","あおぬき"
"青沼","あおぬま"
"青根","あおね"
"青野","あおの"
"青羽","あおば"
"青葉","あおば"
"青淵","あおぶち"
"青松","あおまつ"
"青豆","あおまめ"
"青海","あおみ"
"青見","あおみ"
"青水","あおみ"
"碧海","あおみ"
"青峰","あおみね"
"青村","あおむら"
"青目","あおめ"
"青本","あおもと"
"青森","あおもり"
"青盛","あおもり"
"蒼森","あおもり"
"青屋","あおや"
"青谷","あおや"
"青矢","あおや"
"青柳","あおやぎ"
"青宿","あおやど"
"青柳","あおやなぎ"
"青山","あおやま"
"碧山","あおやま"
"阿折","あおり"
"阿嘉","あか"
"赤穴","あかあな"
"赤井","あかい"
"赤居","あかい"
"明井","あかい"
"閼伽井","あかい"
"赤池","あかいけ"
"赤井沢","あかいざわ"
"赤石","あかいし"
"明石","あかいし"
"赤石沢","あかいしざわ"
"赤井田","あかいだ"
"赤出川","あかいでがわ"
"赤井畑","あかいはた"
"赤岩","あかいわ"
"赤牛","あかうし"
"赤江","あかえ"
"赤枝","あかえだ"
"赤尾","あかお"
"赤岡","あかおか"
"赤荻","あかおぎ"
"赤尾関","あかおぜき"
"赤家部","あかかべ"
"赤壁","あかかべ"
"赤垣","あかがき"
"赤樫","あかがし"
"赤金","あかがね"
"銅","あかがね"
"赤上","あかがみ"
"赤神","あかがみ"
"赤狩山","あかがりやま"
"赤川","あかがわ"
"赤木","あかき"
"赤城","あかぎ"
"赤木","あかぎ"
"赤岸","あかぎし"
"赤桐","あかぎり"
"赤久保","あかくぼ"
"赤熊","あかくま"
"赤倉","あかくら"
"赤熊","あかぐま"
"赤栗","あかぐり"
"赤毛","あかげ"
"赤坂","あかさか"
"赤阪","あかさか"
"赤崎","あかさき"
"赤窄","あかさこ"
"赤迫","あかさこ"
"赤沢","あかさわ"
"赤澤","あかさわ"
"赤座","あかざ"
"赤崎","あかざき"
"赤沢","あかざわ"
"赤澤","あかざわ"
"紅","あかし"
"赤司","あかし"
"朋石","あかし"
"明石","あかし"
"赤塩","あかしお"
"赤鹿","あかしか"
"赤繁","あかしげ"
"赤下","あかした"
"赤柴","あかしば"
"赤芝","あかしば"
"赤島","あかしま"
"赤城","あかしろ"
"赤地","あかじ"
"赤路","あかじ"
"赤須","あかす"
"赤瀬","あかせ"
"明瀬","あかせ"
"赤瀬川","あかせがわ"
"赤楚","あかそ"
"赤祖父","あかそふ"
"赤染","あかぞめ"
"赤田","あかた"
"赤滝","あかたき"
"赤谷","あかたに"
"赤田","あかだ"
"赤地","あかち"
"明智","あかち"
"吾勝","あかつ"
"赤津","あかつ"
"赤塚","あかつか"
"暁","あかつき"
"曉","あかつき"
"赤土","あかつち"
"赤塔","あかとう"
"赤土","あかど"
"赤泊","あかどまり"
"赤穴","あかな"
"赤名","あかな"
"赤西","あかにし"
"赤沼","あかぬま"
"茜","あかね"
"赤根","あかね"
"茜ヶ久保","あかねがくぼ"
"茜谷","あかねや"
"赤根谷","あかねや"
"赤野","あかの"
"赤羽","あかは"
"赤萩","あかはぎ"
"赤畑","あかはた"
"赤畠","あかはた"
"赤花","あかはな"
"赤埴","あかはに"
"赤羽","あかはね"
"赤羽根","あかはね"
"赤波根","あかはね"
"赤浜","あかはま"
"赤原","あかはら"
"赤羽","あかば"
"赤波江","あかばえ"
"赤畠","あかばたけ"
"赤羽","あかばね"
"赤羽根","あかばね"
"赤刎","あかばね"
"赤羽目","あかばめ"
"赤林","あかばやし"
"赤髭","あかひげ"
"赤秀","あかひで"
"赤平","あかひら"
"赤藤","あかふじ"
"赤渕","あかふち"
"赤淵","あかぶち"
"赤部","あかべ"
"赤保","あかほ"
"赤穂","あかほ"
"赤穗","あかほ"
"赤星","あかほし"
"赤堀","あかほり"
"赤星","あかぼし"
"赤堀","あかぼり"
"赤間","あかま"
"赤真","あかま"
"赤股","あかまた"
"赤松","あかまつ"
"赤丸","あかまる"
"赤見","あかみ"
"赤水","あかみず"
"赤見内","あかみない"
"阿嘉嶺","あかみね"
"赤峰","あかみね"
"赤峯","あかみね"
"赤嶺","あかみね"
"赤宗","あかむね"
"赤村","あかむら"
"赤本","あかもと"
"赤森","あかもり"
"赤谷","あかや"
"赤山","あかやま"
"亜厂","あかり"
"明里","あかり"
"耀","あかる"
"阿河","あが"
"阿賀","あが"
"阿賀岡","あがおか"
"阿垣","あがき"
"安掛","あがけ"
"阿形","あがた"
"阿縣","あがた"
"安形","あがた"
"県","あがた"
"縣","あがた"
"阿潟浜","あがたはま"
"我妻","あがつま"
"吾妻","あがつま"
"上妻","あがつま"
"上野","あがの"
"上利","あがり"
"上里","あがり"
"東江","あがりえ"
"上尾","あがりお"
"東金城","あがりかなぐすく"
"上里田","あがりた"
"揚田","あがりた"
"上り浜","あがりはま"
"阿河","あがわ"
"阿川","あがわ"
"安川","あがわ"
"阿木","あき"
"安喜","あき"
"安岐","あき"
"安芸","あき"
"安藝","あき"
"秋","あき"
"秋池","あきいけ"
