"男名","男メイ"
"亜々佐","ああさ"
"亜朝","ああさあ"
"亜明日","ああす"
"亜々太","ああた"
"亜々地","ああち"
"亜々人","ああと"
"亜々斗","ああと"
"亜都","ああと"
"亞々夢","ああむ"
"愛々夢","ああむ"
"亜異","あい"
"亜緯","あい"
"愛","あい"
"碧","あい"
"藍","あい"
"逢","あい"
"亜衣愛","あいあ"
"愛育","あいいく"
"愛一","あいいち"
"愛一朗","あいいちろう"
"愛一郎","あいいちろう"
"藍一朗","あいいちろう"
"藍一郎","あいいちろう"
"愛宇","あいう"
"愛夫","あいお"
"愛威夫","あいお"
"愛維夫","あいお"
"阿威夫","あいお"
"阿維夫","あいお"
"亜伊雅","あいが"
"亜衣雅","あいが"
"愛翔","あいが"
"愛雅","あいが"
"藍楽","あいが"
"藍河","あいが"
"亜維樹","あいき"
"亜衣希","あいき"
"合希","あいき"
"合気","あいき"
"心綺","あいき"
"愛喜","あいき"
"愛樹","あいき"
"愛生","あいき"
"愛絆","あいき"
"愛葵","あいき"
"愛輝","あいき"
"愛騎","あいき"
"瞬輝","あいき"
"碧希","あいき"
"蒼桔","あいき"
"藍季","あいき"
"藍希","あいき"
"藍樹","あいき"
"藍生","あいき"
"藍葵","あいき"
"逢輝","あいき"
"愛吉","あいきち"
"愛久","あいく"
"愛来","あいく"
"愛空","あいく"
"愛育","あいく"
"愛郁","あいく"
"愛駆","あいく"
"藍空","あいく"
"逢郁","あいく"
"愛伍","あいご"
"愛吾","あいご"
"愛悟","あいご"
"相後","あいご"
"相碁","あいご"
"藍吾","あいご"
"阿乙呉","あいご"
"愛作","あいさく"
"藍作","あいさく"
"藍座","あいざ"
"愛","あいし"
"愛史","あいし"
"愛司","あいし"
"愛士","あいし"
"愛志","あいし"
"逢志","あいし"
"愛秀","あいしゅう"
"愛秋","あいしゅう"
"愛俊","あいしゅん"
"愛史朗","あいしろう"
"亜依慈","あいじ"
"愛二","あいじ"
"愛児","あいじ"
"愛司","あいじ"
"愛慈","あいじ"
"愛時","あいじ"
"愛次","あいじ"
"愛治","あいじ"
"愛詩","あいじ"
"愛路","あいじ"
"藍二","あいじ"
"藍司","あいじ"
"愛樹","あいじゅ"
"藍譲","あいじょう"
"耀李優","あいす"
"吾唯助","あいすけ"
"吾唯輔","あいすけ"
"吾生輔","あいすけ"
"愛介","あいすけ"
"愛佑","あいすけ"
"愛助","あいすけ"
"愛将","あいすけ"
"愛輔","あいすけ"
"藍介","あいすけ"
"藍助","あいすけ"
"阿維介","あいすけ"
"藍星","あいせ"
"愛聖","あいせい"
"藍星","あいせい"
"愛染","あいぜん"
"碧泉","あいぜん"
"哀三","あいぞう"
"哀蔵","あいぞう"
"哀造","あいぞう"
"愛三","あいぞう"
"愛蔵","あいぞう"
"愛造","あいぞう"
"相三","あいぞう"
"相蔵","あいぞう"
"相造","あいぞう"
"藍三","あいぞう"
"藍蔵","あいぞう"
"藍造","あいぞう"
"愛以太","あいた"
"愛拓","あいた"
"愛汰","あいた"
"藍太","あいた"
"哀太朗","あいたろう"
"哀太郎","あいたろう"
"哀彦","あいたろう"
"愛太朗","あいたろう"
"愛太郎","あいたろう"
"相太朗","あいたろう"
"相太郎","あいたろう"
"藍太朗","あいたろう"
"藍太郎","あいたろう"
"亜一","あいち"
"愛一","あいち"
"愛地","あいち"
"海市","あいち"
"空一","あいち"
"藍伝","あいでん"
"亜惟杜","あいと"
"合采","あいと"
"吾衣翔","あいと"
"和人","あいと"
"哀翔","あいと"
"彩翔","あいと"
"心人","あいと"
"心羽","あいと"
"心音","あいと"
"愛人","あいと"
"愛兎","あいと"
"愛十","あいと"
"愛叶","あいと"
"愛大","あいと"
"愛斗","あいと"
"愛永","あいと"
"愛生心","あいと"
"愛生斗","あいと"
"愛登","あいと"
"愛翔","あいと"
"愛都","あいと"
"愛音","あいと"
"愛飛","あいと"
"曖衣斗","あいと"
"歩叶","あいと"
"相斗","あいと"
"相登","あいと"
"碧人","あいと"
"碧士","あいと"
"碧大","あいと"
"碧斗","あいと"
"空生斗","あいと"
"蒼心","あいと"
"藍人","あいと"
